event_id,event_name,event_status,prize_pool,event_dates,event_country,event_image_url
1191,Champions Tour 2023: Pacific League,completed,250000.0,Mar 25 May 28,kr,https://owcdn.net/img/640f5ae002674.png
1188,Champions Tour 2023: LOCK//IN São Paulo,completed,500000.0,Feb 13 Mar 5,br,https://owcdn.net/img/638e35b162881.png
1015,Valorant Champions 2022,completed,1000000.0,Aug 31 Sep 19,tr,https://owcdn.net/img/63067806d167d.png
1111,Champions Tour South America: Last Chance Qualifier,completed,48645.0,Aug 6 14,br,https://owcdn.net/img/62f843c499568.png
1117,Champions Tour EMEA: Last Chance Qualifier,completed,51030.0,Aug 7 14,eu,https://owcdn.net/img/62f843c499568.png
1083,Champions Tour East Asia: Last Chance Qualifier,completed,0.0,Aug 8 14,un,https://owcdn.net/img/62f843c499568.png
1130,Champions Tour North America: Last Chance Qualifier,completed,0.0,Aug 4 14,us,https://owcdn.net/img/62f843c499568.png
1084,Champions Tour Asia-Pacific: Last Chance Qualifier,completed,,Aug 1 7,un,https://owcdn.net/img/62f843c499568.png
1014,Valorant Champions Tour Stage 2: Masters Copenhagen,completed,650000.0,Jul 10 24,dk,https://owcdn.net/img/603bfd7bf3f54.png
1113,Oceania Tour: Championship,completed,20788.0,Jul 6 10,au,https://owcdn.net/img/61dd0b7c24e22.png
1085,Champions Tour LATAM/BR Stage 2: Last Chance Qualifier,completed,0.0,Jun 30,ar,https://owcdn.net/img/6009f963577f4.png
1086,Champions Tour Latin America Stage 2: Playoffs,completed,50000.0,Jun 22 26,ar,https://owcdn.net/img/6009f963577f4.png
800,Champions Tour North America Stage 2: Challengers,completed,200000.0,Apr 28 Jun 26,us,https://owcdn.net/img/6009f963577f4.png
911,Champions Tour Brazil Stage 2: Challengers,completed,79222.0,Mar 7 Jun 26,br,https://owcdn.net/img/6009f963577f4.png
984,Champions Tour EMEA Stage 2: Challengers,completed,216946.0,May 13 Jun 26,eu,https://owcdn.net/img/6009f963577f4.png
1063,Champions Tour Asia-Pacific Stage 2: Challengers Playoffs,completed,150000.0,Jun 8 26,un,https://owcdn.net/img/6009f963577f4.png
998,Champions Tour Korea Stage 2: Challengers,completed,82940.0,May 6 Jun 26,kr,https://owcdn.net/img/6009f963577f4.png
1013,Champions Tour Japan Stage 2: Challengers Playoffs,completed,15465.0,Jun 9 26,jp,https://owcdn.net/img/6009f963577f4.png
988,Champions Tour Latin America South Stage 2: Challengers,completed,15000.0,Apr 29 Jun 11,un,https://owcdn.net/img/6009f963577f4.png
983,Champions Tour Latin America North Stage 2: Challengers,completed,15000.0,Apr 25 Jun 10,un,https://owcdn.net/img/6009f963577f4.png
996,Skyesports Champions Series,completed,28500.0,May 9 Jun 5,in,https://owcdn.net/img/6278abe935719.png
1012,Champions Tour Japan Stage 2: Challengers Week 2,completed,0.0,May 24 Jun 5,jp,https://owcdn.net/img/6009f963577f4.png
